applicant_id,age,employment_type,years_employed,annual_income_lakhs,monthly_income_lakhs,dependents,state,property_area,cibil_score,credit_history_years,no_of_existing_loans,existing_emi_lakhs,previous_defaults,bankruptcies,loan_type,loan_purpose,loan_amount_lakhs,tenure_months,interest_rate_pct,ltv_ratio,collateral_value_lakhs,priority_sector,emi_lakhs,foir,loan_to_income_ratio,age_at_loan_maturity,loan_approved,sanctioned_amount_lakhs,internal_score
APP000011,55,PSU,5,12.42,1.035,4,Punjab,Urban,807,8,0,0.0,1,0,Loan Against Property,Business Expansion,339.47,174,11.67,60.87,574.42,0,4.0539,3.9168,27.3325,69,0,0.0,-29
APP000012,21,Self-Employed Business,3,49.42,4.1183,3,Uttar Pradesh,Semi-Urban,785,8,0,0.0,0,0,Home Loan,Purchase / Construction of House,124.33,220,9.73,42.94,291.45,1,1.2134,0.2946,2.5158,39,1,122.44,108
APP000013,40,Self-Employed Business,3,34.18,2.8483,2,Telangana,Urban,782,11,1,0.6476,0,0,Vehicle Loan,Used Car Purchase,42.61,28,9.78,64.41,74.63,0,1.7082,0.8271,1.2466,42,0,0.0,25
APP000014,30,Self-Employed Business,7,30.6,2.55,0,Delhi,Rural,565,3,3,0.5758,0,0,Home Loan,Purchase / Construction of House,202.33,206,9.58,66.9,291.93,1,2.005,1.0121,6.6121,47,0,0.0,-63
APP000015,37,Self-Employed Professional,9,39.02,3.2517,1,West Bengal,Rural,724,6,0,0.0,0,0,Gold Loan,Personal Need,13.5,5,9.11,59.49,28.99,1,2.7618,0.8493,0.346,37,0,0.0,18
APP000016,33,PSU,8,27.74,2.3117,0,Rajasthan,Semi-Urban,789,11,3,0.5684,0,0,Business Loan,Working Capital,180.39,53,16.47,72.4,312.31,0,4.8126,2.3277,6.5029,37,0,0.0,-1
APP000017,38,Salaried,9,25.43,2.1192,4,West Bengal,Rural,734,2,3,0.0697,0,0,Personal Loan,Medical Emergency,23.34,33,14.93,49.3,0.0,0,0.8667,0.4419,0.9178,40,1,23.28,66
APP000018,24,Self-Employed Professional,5,29.5,2.4583,3,Maharashtra,Urban,816,6,0,0.0,0,0,Personal Loan,Debt Consolidation,16.75,46,19.11,83.57,0.0,0,0.5164,0.2101,0.5678,27,1,16.69,108
APP000019,21,Self-Employed Business,10,44.55,3.7125,1,Gujarat,Urban,789,2,0,0.0,0,0,Business Loan,Machinery Purchase,125.87,59,11.46,77.38,190.87,0,2.8005,0.7543,2.8254,25,0,0.0,19
APP000020,34,Self-Employed Professional,5,31.07,2.5892,0,Uttar Pradesh,Urban,665,5,0,0.0,0,0,Loan Against Property,Education,159.15,167,9.89,54.75,324.32,0,1.7581,0.679,5.1223,47,0,0.0,-31
APP000021,35,Salaried,15,8.81,0.7342,0,Punjab,Semi-Urban,605,11,1,0.1693,0,0,Gold Loan,Business,8.23,18,13.6,40.93,23.22,1,0.508,0.9225,0.9342,36,0,0.0,15
APP000022,38,Salaried,0,17.41,1.4508,1,Delhi,Urban,707,9,2,0.4881,0,0,Business Loan,Machinery Purchase,452.77,55,12.19,48.58,1008.47,0,10.7856,7.7707,26.0063,42,0,0.0,-15
APP000023,38,Salaried,1,13.26,1.105,1,Uttar Pradesh,Semi-Urban,654,14,2,0.1347,2,0,Vehicle Loan,New Car Purchase,46.9,47,10.45,83.54,64.1,0,1.2203,1.2262,3.537,41,0,0.0,-68
APP000024,37,Self-Employed Business,5,75.76,6.3133,1,Gujarat,Semi-Urban,803,7,2,1.2415,0,0,Home Loan,Purchase / Construction of House,75.39,242,9.96,66.41,111.94,1,0.7236,0.3113,0.9951,57,1,74.29,101
APP000025,49,Government,8,16.94,1.4117,0,Telangana,Semi-Urban,767,3,2,0.1449,0,0,Personal Loan,Medical Emergency,13.48,32,20.66,87.49,0.0,0,0.5514,0.4932,0.7957,51,1,13.05,81
APP000026,56,Self-Employed Professional,7,15.83,1.3192,3,Punjab,Semi-Urban,653,5,1,0.066,0,0,Vehicle Loan,New Car Purchase,38.31,28,8.52,43.78,104.6,0,1.5136,1.1974,2.4201,58,0,0.0,-30
APP000027,33,Salaried,9,18.47,1.5392,2,Rajasthan,Rural,838,10,2,0.0599,1,0,Home Loan,Purchase / Construction of House,150.32,200,9.22,60.0,302.98,1,1.4738,0.9964,8.1386,49,0,0.0,-17
APP000028,36,Self-Employed Business,0,44.17,3.6808,2,Tamil Nadu,Urban,652,6,2,0.6807,0,0,Education Loan,Domestic Education,13.37,69,8.09,98.19,0.0,1,0.243,0.251,0.3027,41,1,11.45,78
APP000029,38,Self-Employed Business,5,25.48,2.1233,1,Maharashtra,Semi-Urban,868,11,1,0.6697,0,0,Loan Against Property,Medical,27.5,35,13.33,41.74,71.69,0,0.9526,0.764,1.0793,40,0,0.0,48
APP000030,54,Salaried,5,14.1,1.175,4,Karnataka,Semi-Urban,656,1,4,0.1069,0,0,Home Loan,Purchase / Construction of House,138.71,204,8.95,54.39,296.08,1,1.3257,1.2192,9.8376,71,0,0.0,-77
APP000031,32,Government,6,15.75,1.3125,1,Maharashtra,Semi-Urban,626,6,0,0.0,1,0,Personal Loan,Travel,15.38,37,15.64,98.19,0.0,0,0.5266,0.4012,0.9765,35,0,0.0,9
APP000032,51,Self-Employed Business,7,4.41,0.3675,2,Delhi,Semi-Urban,740,8,1,0.1286,0,0,Education Loan,Abroad Education,29.9,34,13.38,96.69,0.0,1,1.0614,3.2381,6.78,53,0,0.0,-6
APP000033,33,Self-Employed Business,11,22.21,1.8508,4,Punjab,Semi-Urban,630,0,1,0.0736,1,0,Personal Loan,Travel,27.03,45,16.93,89.88,0.0,0,0.8155,0.4804,1.217,36,0,0.0,4
APP000034,49,Salaried,4,26.27,2.1892,2,Karnataka,Semi-Urban,767,11,0,0.0,0,0,Business Loan,Working Capital,451.67,75,10.12,54.02,966.94,0,8.1508,3.7232,17.1934,55,0,0.0,11
APP000035,27,Salaried,16,5.93,0.4942,4,Punjab,Rural,609,0,0,0.0,0,0,Home Loan,Purchase / Construction of House,294.11,112,9.1,47.32,716.55,1,3.9065,7.9047,49.597,36,0,0.0,-54
APP000036,37,Self-Employed Business,3,126.39,10.5325,3,Delhi,Semi-Urban,764,3,0,0.0,1,0,Business Loan,Machinery Purchase,437.28,38,15.34,46.89,948.7,0,14.5997,1.3862,3.4598,40,0,0.0,-1
APP000037,30,Self-Employed Professional,7,11.47,0.9558,2,Uttar Pradesh,Semi-Urban,723,9,4,0.0274,1,0,Loan Against Property,Medical,437.42,86,11.01,40.08,1368.47,0,7.3763,7.7461,38.136,37,0,0.0,-34
APP000038,48,Salaried,8,18.01,1.5008,1,Gujarat,Semi-Urban,735,13,1,0.3785,0,0,Personal Loan,Marriage,2.96,18,19.78,90.67,0.0,0,0.1914,0.3797,0.1644,49,1,2.85,91
APP000039,27,Salaried,0,7.17,0.5975,1,Rajasthan,Semi-Urban,736,5,2,0.0743,0,0,Gold Loan,Agriculture,32.48,20,8.33,58.8,63.82,1,1.745,3.0449,4.53,28,0,0.0,-2
APP000040,21,Government,1,11.39,0.9492,2,Maharashtra,Rural,566,10,2,0.3277,0,0,Personal Loan,Debt Consolidation,24.43,44,10.6,53.52,0.0,0,0.6725,1.0537,2.1449,24,0,0.0,-28
APP000041,36,Self-Employed Professional,10,43.75,3.6458,2,Tamil Nadu,Urban,786,0,0,0.0,0,0,Business Loan,Working Capital,103.33,37,12.59,57.02,204.35,0,3.3842,0.9282,2.3618,39,0,0.0,18
APP000042,61,Salaried,9,13.07,1.0892,2,Punjab,Semi-Urban,900,0,0,0.0,0,0,Gold Loan,Business,16.9,12,12.71,59.21,29.13,1,1.5072,1.3838,1.293,62,0,0.0,15
APP000043,32,Salaried,5,18.74,1.5617,3,Rajasthan,Urban,840,4,4,0.5064,0,0,Personal Loan,Medical Emergency,29.0,40,12.39,87.72,0.0,0,0.8887,0.8933,1.5475,35,0,0.0,9
APP000044,26,Self-Employed Business,18,32.33,2.6942,2,Maharashtra,Rural,789,5,0,0.0,0,0,Home Loan,Purchase / Construction of House,245.9,354,9.88,71.49,401.9,1,2.1421,0.7951,7.6059,55,0,0.0,7
APP000045,21,Salaried,0,35.0,2.9167,2,Punjab,Semi-Urban,834,11,2,0.7082,0,0,Business Loan,Business Expansion,84.2,40,13.96,69.66,139.08,1,2.6446,1.1495,2.4057,24,0,0.0,8
APP000046,30,Salaried,17,26.71,2.2258,3,Delhi,Semi-Urban,687,8,3,0.4179,0,0,Personal Loan,Medical Emergency,15.46,56,12.22,63.84,0.0,0,0.3636,0.3511,0.5788,34,1,14.99,43
APP000047,34,Self-Employed Professional,0,48.34,4.0283,1,Rajasthan,Rural,742,2,0,0.0,2,0,Home Loan,Purchase / Construction of House,177.1,259,9.26,50.08,412.07,1,1.5828,0.3929,3.6636,55,0,0.0,49
APP000048,33,Salaried,11,14.38,1.1983,3,Uttar Pradesh,Semi-Urban,669,6,1,0.0324,1,0,Business Loan,Machinery Purchase,53.02,52,17.4,58.03,90.42,1,1.4589,1.2445,3.6871,37,0,0.0,-59
APP000049,38,Self-Employed Professional,2,9.82,0.8183,2,Rajasthan,Urban,587,10,1,0.0992,0,0,Loan Against Property,Education,176.74,114,11.31,46.74,419.11,0,2.5362,3.2206,17.998,47,0,0.0,-52
APP000050,38,Self-Employed Professional,11,23.02,1.9183,2,Tamil Nadu,Urban,867,11,2,0.0088,0,0,Education Loan,Abroad Education,20.07,92,14.73,48.92,0.0,1,0.3652,0.195,0.8719,45,1,18.31,105
APP000051,61,Salaried,5,16.94,1.4117,2,Gujarat,Semi-Urban,676,6,1,0.2791,0,0,Education Loan,Abroad Education,2.44,89,13.0,71.66,0.0,1,0.0429,0.2281,0.144,68,1,2.27,82
APP000052,33,Salaried,6,12.41,1.0342,0,Tamil Nadu,Urban,653,10,2,0.3248,2,0,Education Loan,Domestic Education,16.03,98,14.85,90.39,0.0,1,0.2832,0.5879,1.2917,41,0,0.0,46
APP000053,35,Self-Employed Professional,0,10.24,0.8533,1,Delhi,Rural,800,10,0,0.0,0,0,Loan Against Property,Education,361.8,58,10.47,61.67,733.04,0,7.9754,9.3465,35.332,39,0,0.0,-6
APP000054,39,Self-Employed Business,6,11.51,0.9592,0,West Bengal,Urban,746,1,0,0.0,0,0,Education Loan,Domestic Education,26.83,58,12.37,60.15,0.0,1,0.6169,0.6431,2.331,43,0,0.0,8
APP000055,33,Salaried,6,28.34,2.3617,2,Punjab,Semi-Urban,740,8,0,0.0,0,0,Loan Against Property,Medical,95.14,137,9.59,48.06,225.59,0,1.1452,0.4849,3.3571,44,1,89.91,77
APP000056,38,Self-Employed Professional,10,21.1,1.7583,2,Uttar Pradesh,Urban,880,9,3,0.5106,0,0,Gold Loan,Personal Need,10.4,12,8.83,49.23,22.04,1,0.9087,0.8072,0.4929,39,0,0.0,18
APP000057,29,Salaried,15,25.08,2.09,1,Delhi,Urban,680,0,0,0.0,0,0,Loan Against Property,Medical,96.26,59,12.58,42.05,284.54,0,2.196,1.0507,3.8381,33,0,0.0,4
APP000058,29,Salaried,10,24.83,2.0692,3,Delhi,Semi-Urban,579,6,3,0.391,1,0,Business Loan,Business Expansion,81.84,73,17.64,46.19,206.98,1,1.8357,1.0761,3.296,35,0,0.0,-66
APP000059,21,Salaried,4,13.8,1.15,1,Karnataka,Urban,713,5,0,0.0,0,0,Business Loan,Machinery Purchase,481.09,28,17.6,57.84,844.07,0,21.0745,18.3257,34.8616,23,0,0.0,1
APP000060,32,Self-Employed Business,13,43.45,3.6208,4,Uttar Pradesh,Semi-Urban,683,9,1,0.6202,0,0,Education Loan,Abroad Education,7.03,165,8.36,80.2,0.0,1,0.0718,0.1911,0.1618,45,1,6.02,95
APP000061,26,Government,7,10.72,0.8933,2,Maharashtra,Rural,642,9,2,0.0172,0,0,Business Loan,Working Capital,228.12,70,16.63,41.48,637.23,0,5.112,5.7419,21.2799,31,0,0.0,-45
APP000062,45,Self-Employed Business,3,28.66,2.3883,2,Delhi,Urban,705,5,1,0.451,0,0,Personal Loan,Debt Consolidation,31.73,36,20.46,71.21,0.0,0,1.1867,0.6857,1.1071,48,0,0.0,-7
APP000063,47,PSU,20,11.31,0.9425,3,Uttar Pradesh,Urban,667,4,0,0.0,0,0,Business Loan,Working Capital,168.85,16,15.86,40.13,468.54,0,11.7776,12.4961,14.9293,48,0,0.0,-47
APP000064,24,Salaried,6,24.36,2.03,3,West Bengal,Semi-Urban,643,5,0,0.0,0,0,Gold Loan,Agriculture,39.92,7,8.35,54.62,91.92,1,5.8627,2.888,1.6388,24,0,0.0,18
APP000065,37,Salaried,9,23.04,1.92,1,Uttar Pradesh,Urban,900,4,1,0.1482,0,0,Loan Against Property,Medical,97.29,26,12.8,64.02,177.87,0,4.3046,2.3192,4.2227,39,0,0.0,12
APP000066,33,Salaried,0,17.26,1.4383,3,Rajasthan,Rural,733,6,4,0.4518,0,0,Business Loan,Machinery Purchase,232.23,24,11.79,61.48,437.24,0,10.9091,7.8988,13.4548,35,0,0.0,-22
APP000067,30,PSU,3,28.03,2.3358,2,Maharashtra,Urban,728,0,0,0.0,0,1,Education Loan,Domestic Education,21.84,101,11.73,97.73,0.0,1,0.3412,0.1461,0.7792,38,0,0.0,61
APP000068,26,Self-Employed Professional,18,50.31,4.1925,2,West Bengal,Rural,752,9,3,0.7649,2,0,Education Loan,Domestic Education,26.11,103,13.95,92.04,0.0,1,0.4362,0.2865,0.519,34,0,0.0,69
APP000069,45,Self-Employed Business,7,55.62,4.635,3,Rajasthan,Rural,731,11,2,0.2608,0,0,Personal Loan,Travel,32.81,25,20.71,55.52,0.0,0,1.6269,0.4073,0.5899,47,1,28.84,78
APP000070,30,Government,8,15.83,1.3192,0,Karnataka,Urban,814,6,2,0.1811,0,0,Gold Loan,Personal Need,9.06,7,8.47,72.8,14.82,1,1.3311,1.1463,0.5723,30,0,0.0,23
APP000071,36,Self-Employed Business,5,27.72,2.31,2,Telangana,Semi-Urban,730,8,3,0.0199,0,0,Loan Against Property,Medical,15.95,157,10.99,64.56,25.65,0,0.192,0.0917,0.5754,49,1,13.56,84
APP000072,33,Self-Employed Business,12,26.11,2.1758,2,Delhi,Semi-Urban,757,9,2,0.1752,0,0,Vehicle Loan,Used Car Purchase,7.44,78,13.7,46.8,17.51,0,0.1446,0.147,0.2849,39,1,7.38,105
APP000073,54,Salaried,6,9.63,0.8025,0,Uttar Pradesh,Urban,748,1,2,0.2428,0,0,Education Loan,Abroad Education,14.46,83,9.11,52.22,0.0,1,0.2355,0.596,1.5016,60,1,12.49,65
APP000074,50,Self-Employed Professional,12,13.3,1.1083,1,Gujarat,Semi-Urban,707,1,3,0.0005,0,0,Vehicle Loan,Two Wheeler,30.32,20,9.12,62.12,47.47,0,1.6399,1.4801,2.2797,51,0,0.0,-2
APP000075,23,Self-Employed Business,7,49.26,4.105,2,Gujarat,Urban,664,16,1,0.419,2,0,Education Loan,Domestic Education,21.0,44,14.67,94.47,0.0,1,0.6199,0.2531,0.4263,26,0,0.0,66
APP000076,33,PSU,7,10.08,0.84,1,Rajasthan,Urban,814,4,1,0.2767,0,0,Education Loan,Abroad Education,2.64,44,14.18,44.95,0.0,1,0.0773,0.4214,0.2619,36,1,2.57,92
APP000077,25,Self-Employed Business,9,36.12,3.01,2,Karnataka,Semi-Urban,790,12,3,0.3148,0,0,Vehicle Loan,Used Car Purchase,46.82,83,12.26,76.08,65.77,0,0.8394,0.3835,1.2962,31,1,45.52,94
APP000078,51,Salaried,8,31.78,2.6483,2,Tamil Nadu,Urban,667,5,1,0.8081,2,0,Education Loan,Domestic Education,6.97,66,11.29,84.66,0.0,1,0.1422,0.3588,0.2193,56,0,0.0,70
APP000079,36,Salaried,1,27.7,2.3083,0,Delhi,Urban,682,1,4,0.679,1,0,Loan Against Property,Medical,91.23,47,11.2,50.38,195.55,0,2.4067,1.3368,3.2935,39,0,0.0,-26
APP000080,34,Salaried,7,18.4,1.5333,2,Gujarat,Semi-Urban,706,10,3,0.1486,2,0,Gold Loan,Personal Need,29.66,24,10.91,53.43,61.79,1,1.3811,0.9977,1.612,36,0,0.0,-17
APP000081,33,Salaried,9,22.45,1.8708,0,West Bengal,Rural,534,4,1,0.2862,0,0,Gold Loan,Agriculture,4.96,17,13.13,60.28,9.73,1,0.3213,0.3247,0.2209,34,0,0.0,45
APP000082,36,Salaried,15,18.8,1.5667,2,Uttar Pradesh,Urban,607,4,2,0.1287,0,0,Gold Loan,Business,44.2,24,9.11,58.19,81.12,1,2.0215,1.3724,2.3511,38,0,0.0,10
APP000083,35,Salaried,12,30.47,2.5392,2,Tamil Nadu,Rural,817,11,0,0.0,0,0,Education Loan,Abroad Education,17.77,145,9.44,46.72,0.0,1,0.2059,0.0811,0.5832,47,1,15.82,108
APP000084,37,PSU,10,16.84,1.4033,3,Delhi,Semi-Urban,672,7,2,0.0729,0,0,Home Loan,Purchase / Construction of House,296.06,275,9.82,40.61,775.03,1,2.711,1.9838,17.5808,59,0,0.0,-45
APP000085,38,Self-Employed Business,4,7.6,0.6333,1,Tamil Nadu,Rural,760,9,0,0.0,1,0,Loan Against Property,Education,121.11,109,10.52,59.85,261.55,0,1.7298,2.7314,15.9355,47,0,0.0,-18
APP000086,30,Self-Employed Business,10,39.17,3.2642,0,Maharashtra,Urban,735,5,1,1.0496,1,0,Education Loan,Domestic Education,18.22,42,12.61,63.63,0.0,1,0.5388,0.4866,0.4652,33,1,17.27,60
APP000087,40,Self-Employed Professional,16,26.09,2.1742,3,West Bengal,Urban,756,6,1,0.2489,0,0,Personal Loan,Travel,26.87,17,22.67,92.67,0.0,0,1.8627,0.9712,1.0299,41,0,0.0,21
APP000088,46,PSU,13,10.63,0.8858,3,Rajasthan,Semi-Urban,827,13,1,0.1747,1,0,Home Loan,Purchase / Construction of House,117.22,152,9.31,48.31,262.21,1,1.3159,1.6828,11.0273,58,0,0.0,-15
APP000089,52,Self-Employed Business,0,118.71,9.8925,2,Telangana,Urban,900,1,1,2.0088,0,0,Gold Loan,Personal Need,26.73,17,11.25,59.23,54.67,1,1.7083,0.3757,0.2252,53,1,25.59,82
APP000090,23,Government,15,13.96,1.1633,2,Tamil Nadu,Urban,712,1,3,0.0792,0,0,Business Loan,Machinery Purchase,84.0,79,12.05,51.39,172.86,1,1.5453,1.3965,6.0172,29,0,0.0,-17
APP000091,39,Self-Employed Business,3,8.17,0.6808,2,Delhi,Rural,702,9,0,0.0,0,0,Vehicle Loan,New Car Purchase,26.73,82,9.7,75.7,35.83,0,0.4471,0.6567,3.2717,45,0,0.0,10
APP000092,29,Government,19,5.98,0.4983,4,Rajasthan,Rural,826,8,2,0.1128,2,0,Education Loan,Domestic Education,5.66,132,13.88,94.0,0.0,1,0.0838,0.3945,0.9465,40,0,0.0,78
APP000093,26,Government,4,13.22,1.1017,2,Uttar Pradesh,Urban,742,3,2,0.2262,0,0,Vehicle Loan,Two Wheeler,9.23,44,9.22,44.31,19.96,0,0.248,0.4304,0.6982,29,1,8.73,82
APP000094,57,Self-Employed Business,20,16.61,1.3842,4,Telangana,Urban,655,13,3,0.2074,0,0,Business Loan,Business Expansion,359.08,35,11.03,44.16,978.62,0,12.0447,8.8514,21.6183,59,0,0.0,-54
APP000095,23,Self-Employed Professional,4,14.01,1.1675,1,Telangana,Urban,722,4,1,0.2207,2,0,Personal Loan,Marriage,35.26,14,17.69,59.46,0.0,0,2.8059,2.5924,2.5168,24,0,0.0,-10
APP000096,44,Salaried,7,30.38,2.5317,2,West Bengal,Semi-Urban,764,7,1,0.1553,0,0,Home Loan,Purchase / Construction of House,208.55,267,9.23,54.79,471.09,1,1.8423,0.789,6.8647,66,0,0.0,-5
APP000097,37,Self-Employed Professional,11,15.68,1.3067,2,Maharashtra,Urban,627,6,4,0.3603,0,0,Gold Loan,Business,43.25,23,15.35,67.37,76.91,1,2.1825,1.946,2.7583,38,0,0.0,4
APP000098,34,Self-Employed Professional,0,12.2,1.0167,2,Karnataka,Urban,751,16,2,0.3272,0,0,Home Loan,Purchase / Construction of House,151.6,160,9.19,57.54,286.92,1,1.6469,1.9417,12.4262,47,0,0.0,-5
APP000099,57,Self-Employed Professional,10,33.91,2.8258,0,Telangana,Semi-Urban,678,5,1,0.9468,0,0,Home Loan,Purchase / Construction of House,174.05,325,10.12,44.64,488.04,1,1.5703,0.8908,5.1327,84,0,0.0,-47
APP000100,33,Government,1,18.6,1.55,4,Delhi,Urban,634,5,0,0.0,0,0,Personal Loan,Travel,3.19,45,17.33,53.95,0.0,0,0.0969,0.0625,0.1715,36,1,2.75,55
APP000101,34,Self-Employed Business,8,27.1,2.2583,0,Delhi,Semi-Urban,701,1,0,0.0,1,0,Education Loan,Domestic Education,6.16,100,8.41,99.69,0.0,1,0.0859,0.038,0.2273,42,1,5.29,69
APP000102,23,Salaried,4,12.41,1.0342,1,Delhi,Urban,721,4,2,0.3608,0,0,Vehicle Loan,Two Wheeler,40.88,63,8.96,69.51,73.33,0,0.8158,1.1377,3.2941,28,0,0.0,6
APP000103,45,Salaried,1,23.03,1.9192,2,Gujarat,Semi-Urban,714,8,1,0.167,0,0,Personal Loan,Medical Emergency,5.79,32,10.76,55.59,0.0,0,0.2089,0.1959,0.2514,47,1,5.58,45
APP000104,37,PSU,18,8.3,0.6917,0,Punjab,Semi-Urban,624,6,1,0.0786,0,0,Loan Against Property,Medical,369.99,180,11.34,63.55,734.87,0,4.2846,6.3079,44.5771,52,0,0.0,-49
APP000105,48,Salaried,15,9.39,0.7825,0,Delhi,Rural,817,8,3,0.1681,2,0,Gold Loan,Agriculture,3.43,15,8.93,65.81,5.89,1,0.2425,0.5247,0.3653,49,0,0.0,49
APP000106,45,Self-Employed Professional,14,28.62,2.385,2,Telangana,Urban,641,1,0,0.0,0,0,Personal Loan,Travel,26.62,39,15.29,64.73,0.0,0,0.8704,0.3649,0.9301,48,0,0.0,36
APP000107,49,Salaried,8,18.07,1.5058,3,Punjab,Rural,739,3,1,0.0365,0,0,Personal Loan,Debt Consolidation,38.41,21,21.28,57.57,0.0,0,2.2067,1.4897,2.1256,50,0,0.0,10
APP000108,30,Salaried,13,16.92,1.41,2,Telangana,Rural,690,3,2,0.458,1,0,Home Loan,Purchase / Construction of House,71.26,212,9.16,62.0,124.82,1,0.6795,0.8067,4.2116,47,0,0.0,-36
APP000109,33,Salaried,11,11.24,0.9367,4,Telangana,Rural,691,8,1,0.2085,0,0,Education Loan,Abroad Education,7.02,137,13.89,83.71,0.0,1,0.1024,0.3319,0.6246,44,1,6.78,95
APP000110,23,Salaried,7,9.78,0.815,1,Punjab,Urban,785,9,1,0.0609,0,0,Gold Loan,Agriculture,25.34,14,14.46,58.98,49.69,1,1.9778,2.5015,2.591,24,0,0.0,25
APP000111,21,Self-Employed Business,4,37.96,3.1633,4,Punjab,Urban,758,5,2,0.2731,0,0,Business Loan,Business Expansion,363.5,76,12.22,47.76,957.41,0,6.8932,2.2655,9.5759,27,0,0.0,8
APP000112,37,Self-Employed Professional,12,51.77,4.3142,1,Rajasthan,Semi-Urban,774,0,1,0.7915,0,0,Personal Loan,Travel,34.0,23,20.57,52.15,0.0,0,1.8012,0.601,0.6568,38,0,0.0,38
APP000113,36,PSU,16,15.66,1.305,3,Uttar Pradesh,Rural,688,7,0,0.0,1,0,Gold Loan,Agriculture,20.69,10,9.19,41.02,50.86,1,2.1571,1.653,1.3212,36,0,0.0,-5
APP000114,46,PSU,8,37.22,3.1017,2,Rajasthan,Semi-Urban,702,5,0,0.0,2,0,Education Loan,Abroad Education,2.06,35,12.74,88.3,0.0,1,0.0708,0.0228,0.0553,48,0,0.0,71
APP000115,45,Salaried,11,12.48,1.04,0,West Bengal,Semi-Urban,796,7,0,0.0,0,0,Loan Against Property,Business Expansion,77.99,136,11.24,42.66,187.79,0,1.0166,0.9775,6.2492,56,0,0.0,11
APP000116,51,PSU,10,29.62,2.4683,2,Rajasthan,Urban,701,3,0,0.0,0,0,Gold Loan,Agriculture,19.25,11,16.53,47.1,46.92,1,1.8979,0.7689,0.6499,51,0,0.0,15
APP000117,44,Salaried,0,38.01,3.1675,2,Tamil Nadu,Semi-Urban,495,9,0,0.0,0,0,Gold Loan,Personal Need,31.6,9,16.09,71.83,53.81,1,3.7507,1.1841,0.8314,44,0,0.0,-44
APP000118,37,PSU,7,16.0,1.3333,0,Uttar Pradesh,Semi-Urban,790,4,2,0.4549,0,0,Gold Loan,Business,18.62,12,15.53,49.38,37.89,1,1.6853,1.6052,1.1638,38,0,0.0,22
APP000119,47,Salaried,11,45.45,3.7875,0,Tamil Nadu,Semi-Urban,648,2,2,1.1694,1,0,Home Loan,Purchase / Construction of House,121.07,213,9.25,49.11,297.26,1,1.1591,0.6148,2.6638,64,0,0.0,-28
APP000120,39,Self-Employed Business,9,9.65,0.8042,3,West Bengal,Rural,655,5,1,0.0426,0,0,Loan Against Property,Business Expansion,116.53,94,12.24,56.35,267.43,0,1.9334,2.4571,12.0756,46,0,0.0,-47
